Numkeys;NumWrites;NumThread;NumNodes;Warehouses;Parallelism;Throughput;WriteThroughput;ReadThroughput;AbortRate;TASRtt;AvgPrepare;ClosedAcf;AlternativeAcf;AlternativeAcfFromPrepare;OpenAcf;AlternativeOpenAcf;ExecNoCont(S);ExecNoCont(R);ReadOnly(S);ReadOnly(R);OOBPrepare(S);OOBCommit(S);OOBRollback(S);CoordinatorCommitTime(S);CPUUsage;MemoryUsage;ApproxTurnaroundTime;2PCBytes(Prep+Comm);TxNetThroughput;ByteNetThroughput;CommitCommandTime;LocalHoldTime;RemoteHoldTime;SuxLocalHoldTime;SuxRemoteHoldTime;WrTxAbortProbability;TotalAbortProbability;WriteCommitProbability;TotalCommitProbability;PrepareProbability;PCoher;LocalLocalConflict;LocalRemoteConflict;reverseGeometricLocalAbortProbability;prepareProbFromGeometricLocalAbortProb;failureProb;TotalReincarnations;Reincarnations;SubReincarnations;UsedACF;predTh;predWTh;predRTh;predAbortProb;predWAbortProb;predWrPrepareProb;predWrGlobalOkToCommitProb;predLocalAbortProbability;predTotalIncarnations;predSubIncarnations;predIncarnations;predTasRtt;predCommitTime;writePercentage;ExecNoContR;ReadOnlyR;UpdateCommitCommandR;ReadOnlyCommitS;CpuU;NetU;LocalHoldTime;RemoteHoldTime;SuxLocalHoldTime;SuxRemoteHoldTime;ReplayR;RollbackR;PredSuxUpdateTxR;Correction;WrCorrection;ValidatedCorrection;CorrectedOutput;
5343.0;4.0;3.0;2.0;15.0;6.0;598.1268435758845;279.75691184721444;318.36993172867005;10.187926695812063;1578736.0;1604348.5;0.0015665300849776603;0.0014747803115701924;0.0011790977648472676;0.0011052938390656531;0.0017409922387914912;121837.0;119214.5;1.50021765E7;1.64815E7;546903.5;179585.5;617818.5;307227.0;0.3893095563468767;5.990125069846153E9;1697950.5;3095.0;284.29537210374576;879894.1766610931;835588.0;2469297.0;868546.0;2469665.0;868770.0;0.03513746527445158;0.016471919598351013;0.9648625347255484;0.9832522121873487;0.980515375035923;0.9840361092657001;368.0;144.0;0.003927657030176612;0.9867579250059969;0.03513746527445158;1.0364170687635272;1.016222870872302;1.019871819922623;0.0015665300849776603;675.8640725965024;316.1163017658322;359.74777083067016;0.0025968181381840205;0.005552058128168502;0.9969351016986936;0.9975051938459945;6.137325333016529E-4;1.0055830555772662;1.0030743207818484;1.002501045778405;200000.0;233174.87183270056;0.46772171296425286;128973.14036161624;1.6001980434007099E7;101174.87183270056;686684.5;0.3697139370924516;-1.0;400963.649870275;226006.29328034777;378558.7560496703;225461.33252496787;-1.0;-1.0;772077.6797314357;0.8849809715110751;0.8849809715110754;-1.0;-675.8640725965024;
5343.0;4.0;3.0;2.0;16.0;6.0;609.2692790560734;285.5555679002744;323.713711155799;10.915817658626551;1586490.5;1614177.0;0.0015667686994013702;0.0014548642022736212;0.0011784319120746044;0.0010908014785108297;0.0017233256366955903;123614.0;117490.5;1.4653357E7;1.61565E7;538163.0;178934.0;607939.0;306597.5;0.38580976374162756;5.976294509641026E9;1703981.0;3103.0;290.5385136711589;901541.0079216061;827465.5;2467103.5;861552.5;2466778.0;862046.0;0.0368191272086792;0.01729646940769495;0.9631808727913208;0.9823990971139893;0.9799883827690232;0.9828492763044684;359.5;179.5;0.004034750773461271;0.9864446031374314;0.0368191272086792;1.0382265971519726;1.017450003890748;1.0204202596508671;0.0015667686994013702;690.265859685609;323.5174763284831;366.74838335712593;0.0026648239094770876;0.005685742197488852;0.9968597283947224;0.9974465107580278;6.288447152157781E-4;1.0057182547196444;1.0031501639757627;1.002560026241439;200000.0;232874.848430952;0.4686853214438761;132247.47609205064;1.5677773651701363E7;100874.84843095201;697720.0;0.36963546892786947;-1.0;400918.80721358006;226515.7178850337;380223.3340861824;225960.43569120808;-1.0;-1.0;775805.4366196175;0.8826588632582428;0.8826588632582429;-1.0;-690.265859685609;
5343.0;4.0;3.0;2.0;17.0;6.0;587.5873178996486;276.5231158081853;311.0642020914633;9.693502020636881;1582058.5;1605261.0;0.0016088757107090845;0.0015051711131980616;0.0012112958555316365;0.0011283329035039966;0.0017727362310687664;119256.0;115287.0;1.54325275E7;1.69055E7;547986.5;178994.0;605910.0;305252.0;0.3813195933639583;5.965445622666666E9;1697345.5;3093.5;280.57827711194744;867968.9002458095;829081.0;2464561.5;868945.5;2463654.0;869259.0;0.03386771213415107;0.01597020116047078;0.9661322878658489;0.9837706122524902;0.9803004425122274;0.9855471302144172;337.0;174.0;0.003971329393089973;0.9865803734885819;0.03386771213415107;1.0350549428473854;1.01466481849776;1.0200954285374884;0.0016088757107090845;662.2213572401952;311.6464693508894;350.5748878893057;0.002625005045568174;0.005577905014162887;0.9969135478353673;0.9975008335929028;6.180539422417382E-4;1.0056091925574546;1.0030960078447468;1.0025054278883112;200000.0;233480.9469542109;0.4706076992890637;126457.6262054152;1.6434012926100086E7;101480.9469542109;678458.5;0.36980114256104474;-1.0;396696.97924854426;226185.92931605718;377355.52267746;225644.3837351544;-1.0;-1.0;768143.599156777;0.8872974443899188;0.8872974443899188;-1.0;-662.2213572401952;
5343.0;4.0;3.0;2.0;30.0;6.0;569.2493576834943;264.85938476494687;304.38997291854736;4.733004652454691;1864116.5;1879455.5;7.06123740550201E-4;6.683844867358506E-4;5.289422893635621E-4;4.987636873038616E-4;8.009710093986721E-4;122562.0;118824.5;1.5222714E7;1.7104E7;547064.5;185259.5;689149.5;317149.5;0.45226480346210896;1.1713580905333334E10;1982941.0;3109.5;267.41476286369004;831526.2051246442;880778.0;2805263.0;926875.5;2803598.0;927113.0;0.01893082019836207;0.008819694761868242;0.9810691798016379;0.9911018260600434;0.990534589900819;0.9904441397648427;149.0;84.5;0.0019002905166732864;0.9936721466081677;0.01755615083453534;1.01786987709216;1.0096480557070346;1.0095558602351573;7.06123740550201E-4;651.5616487690747;303.1575092709417;348.4041394981331;0.0017871999340639544;0.0038411416511472396;0.997774748008148;0.9983805065597009;4.454470678162062E-4;1.0038559529124842;1.0022302147817372;1.0016221204537332;400000.0;368722.1264704649;0.4652783199312982;128613.64506756552;1.6254101449284408E7;104722.12647046491;704988.5;0.36365575695160174;-1.0;602807.7711989424;427407.6182556954;581890.3135110042;426731.3579505268;-1.0;-1.0;1114312.732753762;0.8736692203399568;0.8736692203399568;-1.0;-651.5616487690747;
5343.0;4.0;3.0;2.0;31.0;6.0;546.3398104633982;257.6575675765757;288.68224288682245;4.50510504505105;1875504.0;1889981.0;7.486319273024016E-4;6.951785909540622E-4;5.605558670546177E-4;5.184631151607319E-4;8.251897792444271E-4;121469.5;118095.5;1.62306165E7;1.8109E7;560146.5;182860.0;673056.5;314348.0;0.3823671555465394;1.1675764452641026E10;1993599.5;3107.0;259.6462575964626;806720.9223522092;858863.5;2796524.5;919220.0;2794692.5;919494.5;0.017184387845912617;0.008112190291378673;0.9828156121540874;0.9918214638672072;0.9904013222019749;0.9923407714854197;159.0;74.0;0.0019271490659461543;0.9935217146003764;0.017184387845912617;1.0174848543647457;1.007718345083328;1.0096917053550416;7.486319273024016E-4;622.5158115243426;293.5826873741353;328.9331241502073;0.0018559530429229643;0.003935382310857882;0.9977204748793094;0.9983403596178904;4.563212923864466E-4;1.003950930733779;1.0022847332274767;1.0016623993672307;400000.0;368065.58894069854;0.47160679606714717;127587.12587206672;1.725177811217533E7;104065.58894069854;695311.5;0.364014184585985;-1.0;601641.7820642586;426281.6452208276;580617.8644639385;425587.5284832834;-1.0;-1.0;1110823.0266859778;0.8776320221097459;0.8776320221097458;-1.0;-622.5158115243426;
5343.0;4.0;3.0;2.0;32.0;6.0;601.5243089503156;283.5303528575238;317.9939560927918;5.527286463425473;1871462.5;1888109.0;7.383059574537121E-4;6.953646009178764E-4;5.52236908612401E-4;5.18005551900644E-4;8.279069352808914E-4;119421.5;113065.0;1.43267365E7;1.6197E7;539783.5;182347.0;641210.0;320475.5;0.42264432697418985;1.1710051486102564E10;1984527.5;3099.5;286.05235090214205;886619.2616211893;868930.5;2796984.5;908007.0;2793687.0;908162.0;0.019121744979340827;0.009022979124725683;0.9808782550206592;0.9908948654361771;0.9896031517248006;0.9911834388472444;186.5;86.5;0.0020880715514874915;0.9930032916741718;0.019121744979340827;1.019494514106583;1.0088949843260189;1.0105060783780635;7.383059574537121E-4;694.3473253252829;327.2827701655132;367.06455515976967;0.002049822565650672;0.004348804598332867;0.9974817151872264;0.9981648588062432;5.041650711575124E-4;1.004367799304031;1.0025246425818453;1.0018385151286047;400000.0;371306.2294806029;0.4713531084924827;126235.54921457729;1.5353783232181532E7;107306.22948060287;699092.0;0.36277828227306425;-1.0;605005.9169597069;428015.22659311676;583047.5590093493;427249.620364119;-1.0;-1.0;1115734.3676784504;0.866316160530348;0.8663161605303481;-1.0;-694.3473253252829;
5343.0;4.0;3.0;2.0;60.0;6.0;522.8504776716286;245.32326149744503;277.52721617418354;2.021772939346812;2625242.0;2632612.5;3.517987492490876E-4;3.2905410821790145E-4;2.601444699365025E-4;2.4351747581316549E-4;3.9464574840485355E-4;124843.0;127966.5;1.54797925E7;1.82285E7;556943.0;181054.0;824736.5;312334.0;0.4513675251370872;2.317416410805128E10;2753208.5;3114.0;246.65629860031106;768087.7138413687;945960.5;3640936.0;1019424.5;3643027.0;1019464.5;0.010750761512273785;0.005047637074894315;0.9892492384877262;0.9949267550256833;0.9946246192438631;0.9945955683660602;80.0;40.5;0.0010773952122224983;0.9964115271117702;0.008173897422078505;1.0082412606411881;1.0054337982249593;1.0054044316339399;3.517987492490876E-4;522.7439095420361;245.27325936062056;277.47065018141564;0.004489955509820787;0.009569314253791705;0.9940753222656815;0.9963336414878841;0.0011877537153618999;1.0096617707745819;1.0059599887469444;1.003679850162081;3200000.0;2217227.550551253;0.46920347589606304;129739.8060952598;1.652514141466145E7;105227.55055125307;733004.5;0.2945851833544264;-1.0;3380259.7669340917;3228562.7057839413;3383071.434208409;3216756.2361912946;-1.0;-1.0;5809649.264953465;1.0002038629769705;1.0002038629769703;-1.0;-522.7439095420361;
5343.0;4.0;3.0;2.0;61.0;6.0;545.376267627346;255.96697988739606;289.40928773994995;2.460953883501887;2615100.0;2626451.0;3.3407598221882345E-4;3.1586122402170875E-4;2.467509032077891E-4;2.3260199027569264E-4;3.750266679652186E-4;120245.0;126456.5;1.46252515E7;1.7345E7;555279.0;188491.5;640313.5;325266.0;0.4272180475786314;2.3195187679333332E10;2741556.5;3103.0;257.0780200153879;797713.0961077487;948411.5;3633989.0;1003333.0;3636758.5;1003448.0;0.009522785898538264;0.0044720371492025035;0.9904772141014617;0.9955078738959814;0.9947764402407566;0.995678198673207;80.5;42.5;0.001046901664424671;0.9964777060195468;0.009522785898538264;1.0096143412114504;1.0043405603663433;1.0052509886120535;3.3407598221882345E-4;530.32517565945;248.90289810805788;281.42227755139214;0.0048454839140540384;0.010324034502644408;0.9935995006458274;0.9960511904988665;0.0012833898247153989;1.0104317320643996;1.006441729640577;1.0039644644158858;3600000.0;2483884.1758711254;0.46934015116018496;126326.15475609901;1.5620734279184265E7;107884.17587112552;701366.0;0.2830257942369271;-1.0;3776507.1382866465;3627468.940453381;3783679.868724785;3613170.700222809;-1.0;-1.0;6494495.639607149;1.028380873959416;1.028380873959416;-1.0;-530.32517565945;
5343.0;4.0;3.0;3.0;17.0;9.0;865.3035299956115;406.2559603280565;459.04756966755497;24.487573815480282;1744430.3333333333;1796852.3333333333;0.0015553979954597418;0.0014574389162662874;0.0012694159462600992;0.0011836783283403992;0.0017134977354551877;103887.33333333333;98767.66666666667;1.5589128E7;1.7134333333333332E7;452674.0;152100.66666666666;361469.0;306794.6666666667;0.41246452075583867;6.128383510694638E9;1843198.0;3089.0;418.460860435273;2585251.1957691167;786935.0;2564687.0;1059552.3333333333;2563284.3333333335;1052676.0;0.05684954473935361;0.02678348999568596;0.9431504552606464;0.9724794126277541;0.9714849493151745;0.9708338311627969;361.0;390.0;0.005769194412660883;0.9805157351852616;0.05684954473935361;1.0602762204293723;1.0300423902639135;1.0293520251702577;0.0016088757107090845;982.9951270781825;461.51161471740704;521.4835123607754;0.004305826932045509;0.00917118173685516;0.9956424505190019;0.9951653003009787;8.730329389777199E-4;1.0092560708447413;1.0043766208227929;1.0048581875770377;200000.0;235787.5258809551;0.46949532302279745;111986.5977487355;1.6590459385005593E7;103787.52588095509;677780.0;0.3707533699762824;-1.0;387976.8009741748;221094.28765413817;370979.4845301964;219750.501480569;-1.0;-1.0;758314.796103244;0.8802724511642361;0.8802724511642362;-1.0;-982.9951270781825;
5343.0;4.0;3.0;3.0;32.0;9.0;855.6905488058931;401.66880544861647;454.0217433572766;12.849357532123395;2326648.3333333335;2363389.6666666665;6.65828472278921E-4;6.320345780336031E-4;5.46101535594186E-4;5.16189658968987E-4;7.50851481949848E-4;109549.0;107284.66666666667;1.4780674666666666E7;1.6775333333333332E7;440129.3333333333;155771.0;390999.6666666667;316134.6666666667;0.44564125555281886;1.1950670715656565E10;2433933.0;3099.6666666666665;408.00737740890736;2529373.7350169527;854141.0;3228918.0;1390283.3333333333;3231940.3333333335;1386888.0;0.030998297974992293;0.014578527398555384;0.9690017020250077;0.985205794876715;0.9842931235509333;0.9844645653209885;187.66666666666666;209.66666666666666;0.003161299836031195;0.9893982251600719;0.030998297974992293;1.0319899314007523;1.01578059305156;1.0159575192320784;7.383059574537121E-4;917.6479495285269;430.75216411337;486.8957854151568;0.009671116289309944;0.020602752050716155;0.9885542992771611;0.9907369263028111;0.0022996930242780073;1.021036154730734;1.0115782215819689;1.0093496804764879;1552734.375;1131813.1862699823;0.46940895398358784;116367.19955622575;1.5803970905268922E7;107008.49876998227;706736.3333333334;0.3308013148942969;-1.0;1727303.6649244628;1574925.5974196212;1729563.1935037177;1553892.3432234244;-1.0;-1.0;3073321.921662104;0.9324823852606366;0.9324823852606366;-1.0;-917.6479495285269;
