classe1
10;5,6,0.7,8
20;15,16,1.7,18
30;25,26,2.7,28
40;35,36,3.7,38
50;45,46,4.7,48
60;55,56,7.7,78
70;58,58,9.7,120
80;61,62,12.0,190
90;63,64,21.0,290
100;65,67,38.0,450

classe2
10;5,6,7,8
20;15,16,17,18
30;25,26,27,28
40;35,36,37,38
50;45,46,47,48
60;55,56,77,78
70;58,58,97,120
80;61,62,120,190
90;63,64,210,290
100;65,67,380,450

classe3
10;5,6,7,8
20;15,16,17,18
30;25,26,27,28
40;35,36,37,38
50;45,46,47,48
60;55,56,77,78
70;58,58,97,120
80;61,62,120,190
90;63,64,210,290
100;65,67,380,450
